"Name","Avg MVP","MVP/m","Total MVP","Accuracy","Hit Diff","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate"
"Ninja","24.56","1.64","24.56","88.68","1.21","100% (1/1)","24.56","88.68","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"The Protagonist","24.02","1.88","1057.06","86.73","1.45","70% (31/44)","27.9","85.44","45% (5/11)","20.34","88.37","100% (3/3)","21.84","81.33","75% (9/12)","22.96","90.37","78% (7/9)","24.48","91.33","78% (7/9)"
"Thunder","21.94","3.04","14593.25","87.57","1.41","56% (370/665)","24.85","88.24","64% (64/100)","20.39","92.37","60% (86/143)","23.21","80.53","55% (89/162)","20.89","85.9","54% (76/140)","20.89","92.72","46% (55/120)"
"Snufflez","21.59","1.75","7816.88","84.8","1.22","53% (191/362)","23.63","82.56","53% (36/68)","23.02","86.57","63% (43/68)","20.5","78.78","52% (53/101)","19.83","88.67","46% (35/76)","21.78","91.83","49% (24/49)"
"SubToPewdiepie","21.46","1.52","85.84","85.6","0.95","50% (2/4)","19.3","83.13","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","22.18","86.42","67% (2/3)","0","0","NaN% (0/0)"
"Sslaughtermelon","20.88","1.76","4217.32","84.19","1.18","66% (133/202)","23.86","85.31","73% (38/52)","19.81","88.92","55% (17/31)","19.44","80.49","63% (32/51)","17.79","79.31","68% (26/38)","23.17","89.85","67% (20/30)"
"Commander","20.58","1.83","164.66","74.48","0.87","50% (4/8)","21.12","73.55","43% (3/7)","16.83","81.01","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Tandaor","20.54","3.35","7744.19","86.67","1.13","49% (186/377)","22.79","86.85","65% (40/62)","18.97","90.83","48% (39/81)","21.25","81.56","37% (28/75)","20.43","85.4","49% (62/126)","18.97","92.55","52% (17/33)"
"No.","20.1","3.01","502.55","81.3","1.22","56% (14/25)","22.85","80.57","67% (4/6)","21.41","85.94","75% (3/4)","18.89","76.08","50% (4/8)","20.11","84.84","40% (2/5)","14.1","86.29","50% (1/2)"
"Inferno","20.09","3.19","11612.82","83.91","1.22","57% (330/578)","22.31","82.32","66% (79/119)","18.05","87.12","46% (46/99)","20.86","79.84","56% (78/140)","18.84","83.42","62% (98/159)","20.57","92.42","48% (29/61)"
"KicksnGiggles","18.86","12.24","4525.81","75.1","1.11","52% (125/240)","18.49","73.72","52% (24/46)","13.39","79.36","43% (9/21)","19.66","68.41","47% (43/91)","19.92","80.33","58% (32/55)","18.85","86.05","63% (17/27)"
"ßëåñ$","18.8","1.69","188.02","83.31","1.06","80% (8/10)","0","0","NaN% (0/0)","23.74","89.83","100% (2/2)","18.14","74.73","80% (4/5)","18.54","87.95","100% (1/1)","15.65","95.91","50% (1/2)"
"Death Knight","18.42","1.58","883.98","85.99","1.08","63% (30/48)","20.97","80.93","89% (8/9)","21.94","91.03","67% (6/9)","16.07","79.55","67% (8/12)","17.31","86.59","50% (4/8)","16.65","93.27","40% (4/10)"
"Chaser","18.27","1.42","5115.01","86.03","1.13","54% (152/280)","22.2","87.02","51% (39/76)","16.81","88.61","49% (21/43)","17.78","81.07","54% (38/70)","15.83","84.94","65% (35/54)","16.37","91.97","51% (19/37)"
"Queen","17.2","1.75","17.2","88.24","1","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","17.2","88.24","100% (1/1)"
"Medz","17.19","3.41","8492.18","86.78","1.03","51% (252/494)","19.62","80.94","60% (31/52)","14.65","88.21","42% (44/105)","17.91","77.51","56% (28/50)","16.89","87.2","55% (60/109)","17.96","90","50% (89/178)"
"Off the Wall","17.18","3.64","7954.41","81.86","1","48% (220/463)","19.78","82.04","57% (48/84)","16.56","87.9","54% (69/127)","19.23","74.29","48% (36/75)","14.76","75.58","38% (44/116)","16.98","90.25","38% (23/61)"
"Rusty's son","17.09","1.43","973.86","80.18","1.13","60% (34/57)","19.3","83.82","57% (8/14)","15.62","88.74","63% (5/8)","15.34","73.18","53% (10/19)","17.49","65.67","67% (4/6)","18.24","90.23","70% (7/10)"
"Kodama","17.09","1.48","803.4","89.03","1.17","55% (26/47)","23.99","86.62","83% (5/6)","13.59","88.22","56% (5/9)","15.11","85.77","40% (6/15)","17.69","92.64","78% (7/9)","18.9","93.8","38% (3/8)"
"Krypt","16.91","3.32","8624.33","84.21","1.07","52% (264/510)","18.24","84.95","50% (69/138)","15.03","92.29","46% (33/72)","18.87","81.59","54% (61/113)","13.76","66.81","49% (37/76)","16.65","92.61","58% (64/111)"
"Chaos","16.8","1.12","16.8","86.87","1.01","0% (0/1)","0","0","NaN% (0/0)","16.8","86.87","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"The Fear Turkey","16.74","1.35","401.78","81.79","0.88","50% (12/24)","19.04","81.33","60% (3/5)","13.29","86.24","0% (0/3)","17.57","74.2","50% (4/8)","15.25","85.97","75% (3/4)","16.28","90.02","50% (2/4)"
"Soy Boy","16.73","1.46","1020.26","79.78","0.94","51% (31/61)","18.28","78.7","69% (9/13)","20.08","83.47","44% (4/9)","14.99","74.28","43% (9/21)","16.3","84.43","55% (6/11)","15.39","86.27","43% (3/7)"
"Odin's Fist","16.41","1.45","1296.02","78","0.94","51% (40/79)","16.81","78.24","54% (7/13)","19.94","83.17","47% (8/17)","16.18","71.73","67% (18/27)","13.92","76.99","43% (6/14)","13.35","89.58","13% (1/8)"
"Fluffycloud","16.21","1.31","3517.7","83.55","1.06","49% (107/217)","18.44","79.95","54% (21/39)","15.52","87.82","43% (17/40)","16.99","74.64","49% (30/61)","14.91","88.19","45% (19/42)","14.72","92.64","57% (20/35)"
"Snowflake","16.11","1.36","757.34","81.44","0.93","53% (25/47)","21.99","79.3","63% (5/8)","14.73","84.66","62% (8/13)","15.73","75.74","45% (5/11)","12.73","79.24","25% (2/8)","16.43","89.36","71% (5/7)"
"Ace","15.9","3.38","6199.34","85.88","0.96","47% (184/390)","18.58","82.47","46% (35/76)","13.44","88.47","46% (43/94)","17.78","77.77","52% (39/75)","14.5","89.84","44% (46/104)","16.64","91.07","51% (21/41)"
"Metalface","15.53","1.33","6071.27","80.34","1.02","48% (186/391)","19.68","78.77","49% (35/71)","14.8","83.88","39% (35/90)","14.98","69.6","50% (50/100)","14.38","85.33","47% (36/77)","13.9","89.43","57% (30/53)"
"Wolfie","15.46","1.25","185.46","78.38","0.84","67% (8/12)","20.23","72.54","50% (1/2)","15.52","87.24","100% (2/2)","13.44","71.09","60% (3/5)","10.9","78.69","0% (0/1)","17.94","93.42","100% (2/2)"
"Benji","15.4","1.12","15.4","90","1.1","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","15.4","90","0% (0/1)","0","0","NaN% (0/0)"
"Rock Hard","15.07","1.31","1869.05","82.72","0.99","56% (70/124)","17.16","74.95","63% (15/24)","14.58","86.4","59% (17/29)","16.16","78.63","55% (22/40)","12.27","90.3","59% (10/17)","12.81","90.93","43% (6/14)"
"Sky","14.99","1.36","2188.43","84.64","1.12","58% (84/146)","16.64","78.37","56% (10/18)","13.37","82.73","53% (10/19)","15.65","77.61","67% (31/46)","14.42","90.64","70% (16/23)","14.58","93.01","43% (17/40)"
"Snufflelumpz","14.98","5.96","4554.44","79.62","0.87","50% (151/304)","15.01","74.51","46% (36/78)","13.53","83.52","61% (34/56)","15.88","71.17","51% (40/79)","16.14","87.06","51% (22/43)","14.12","90.6","40% (19/48)"
"Kyrome","14.97","1.18","2574.4","76.96","1.05","38% (66/172)","17.78","70.94","42% (11/26)","14.5","79.27","41% (14/34)","15.09","64.36","41% (17/41)","13.89","83.47","35% (14/40)","14.34","87.74","32% (10/31)"
"Sweets4theweak","14.94","1.31","373.45","85.28","0.89","44% (11/25)","20.98","85.73","75% (3/4)","12.61","84.17","33% (1/3)","13.84","77.56","50% (2/4)","14.03","86.64","38% (5/13)","14.04","100","0% (0/1)"
